,Key,Melody,ExpectedPitch
1,7,"[70, 66, 61, 73, 70, 66, 71, 63, 66, 70, 66, 61, 73, 70, 66, 71, 63, 66]",67
2,2,"[66, 64, 63, 61, 61, 59, 58, 61, 58, 66, 64, 63, 61, 61, 59, 58, 61, 58]",62
3,4,"[60, 64, 62, 64, 67, 65, 64, 62, 59, 60, 64, 62, 64, 67, 65, 64, 62, 59]",64
4,11,"[78, 73, 70, 73, 70, 66, 70, 61, 65, 78, 73, 70, 73, 70, 66, 70, 61, 65]",59
5,6,"[59, 61, 54, 63, 56, 64, 58, 66, 59, 61, 54, 63, 56, 64, 58, 66]",66
6,1,"[60, 57, 65, 62, 58, 67, 64, 60, 72, 60, 57, 65, 62, 58, 67, 64, 60, 72]",61
7,8,"[71, 64, 68, 69, 61, 64, 63, 59, 66, 71, 64, 68, 69, 61, 64, 63, 59, 66]",68
8,3,"[68, 61, 65, 68, 70, 66, 61, 58, 65, 68, 61, 65, 68, 70, 66, 61, 58, 65]",63
9,10,"[75, 67, 72, 63, 62, 70, 60, 68, 75, 67, 72, 63, 62, 70, 60, 68]",58
10,5,"[68, 66, 65, 63, 61, 60, 56, 68, 68, 66, 65, 63, 61, 60, 56, 68]",65
11,0,"[62, 67, 69, 71, 72, 71, 69, 66, 62, 62, 67, 69, 71, 72, 71, 69, 66, 62]",60
12,7,"[62, 66, 69, 74, 71, 67, 66, 64, 61, 62, 66, 69, 74, 71, 67, 66, 64, 61]",67
13,2,"[56, 51, 60, 56, 63, 60, 72, 63, 70, 56, 51, 60, 56, 63, 60, 72, 63, 70]",62
14,9,"[68, 72, 70, 73, 72, 70, 61, 68, 65, 68, 72, 70, 73, 72, 70, 61, 68, 65]",69
15,4,"[64, 59, 68, 69, 66, 63, 59, 64, 59, 68, 69, 66, 63, 59]",64
16,11,"[54, 66, 61, 58, 59, 68, 65, 61, 54, 66, 61, 58, 59, 68, 65, 61]",59
17,6,"[71, 70, 68, 66, 64, 63, 61, 66, 71, 70, 68, 66, 64, 63, 61, 66]",66
18,1,"[62, 69, 66, 64, 57, 61, 62, 69, 66, 64, 57, 61]",61
19,8,"[65, 60, 67, 69, 65, 69, 70, 58, 62, 65, 60, 67, 69, 65, 69, 70, 58, 62]",68
20,3,"[57, 64, 61, 62, 69, 66, 64, 71, 68, 57, 64, 61, 62, 69, 66, 64, 71, 68]",63
21,10,"[70, 71, 73, 75, 73, 71, 70, 68, 65, 70, 71, 73, 75, 73, 71, 70, 68, 65]",58
22,5,"[60, 61, 56, 65, 66, 63, 60, 63, 60, 61, 56, 65, 66, 63, 60, 63]",65
23,0,"[62, 59, 55, 62, 64, 60, 66, 62, 62, 59, 55, 62, 64, 60, 66, 62]",60
24,2,"[59, 64, 63, 61, 59, 57, 59, 66, 59, 64, 63, 61, 59, 57, 59, 66]",62
25,9,"[62, 58, 62, 63, 60, 63, 67, 63, 60, 62, 58, 62, 63, 60, 63, 67, 63, 60]",69
26,4,"[76, 81, 78, 73, 74, 69, 66, 69, 76, 81, 78, 73, 74, 69, 66, 69]",64
27,11,"[69, 67, 65, 64, 62, 60, 69, 67, 65, 64, 62, 60]",59
28,6,"[65, 60, 67, 60, 70, 69, 67, 65, 62, 65, 60, 67, 60, 70, 69, 67, 65, 62]",66
29,1,"[50, 57, 66, 67, 55, 59, 62, 59, 67, 50, 57, 66, 67, 55, 59, 62, 59, 67]",61
30,8,"[67, 70, 63, 68, 67, 65, 63, 67, 70, 63, 68, 67, 65, 63]",68
31,3,"[63, 58, 55, 58, 56, 60, 63, 60, 63, 58, 55, 58, 56, 60, 63, 60]",63
32,10,"[72, 67, 64, 67, 60, 64, 57, 60, 72, 67, 64, 67, 60, 64, 57, 60]",58
33,5,"[71, 69, 67, 72, 71, 69, 60, 64, 71, 69, 67, 72, 71, 69, 60, 64]",65
34,0,"[58, 53, 65, 63, 51, 67, 67, 58, 63, 58, 53, 65, 63, 51, 67, 67, 58, 63]",60
35,7,"[58, 53, 62, 65, 58, 62, 67, 60, 63, 58, 53, 62, 65, 58, 62, 67, 60, 63]",67
36,2,"[76, 69, 71, 73, 69, 66, 66, 62, 66, 76, 69, 71, 73, 69, 66, 66, 62, 66]",62
37,9,"[63, 58, 55, 55, 56, 56, 60, 63, 56, 63, 58, 55, 55, 56, 56, 60, 63, 56]",69
38,4,"[65, 60, 56, 67, 63, 58, 68, 61, 65, 65, 60, 56, 67, 63, 58, 68, 61, 65]",64
39,11,"[66, 61, 66, 63, 66, 58, 66, 66, 61, 66, 63, 66, 58, 66]",59
40,6,"[56, 58, 60, 61, 63, 65, 61, 65, 56, 58, 60, 61, 63, 65, 61, 65]",66
41,1,"[64, 67, 66, 69, 67, 66, 64, 62, 66, 64, 67, 66, 69, 67, 66, 64, 62, 66]",61
42,8,"[58, 67, 65, 63, 62, 58, 62, 58, 67, 65, 63, 62, 58, 62]",68
43,3,"[71, 68, 69, 66, 64, 61, 64, 68, 71, 68, 69, 66, 64, 61, 64, 68]",63
44,10,"[54, 59, 58, 59, 59, 61, 63, 64, 56, 54, 59, 58, 59, 59, 61, 63, 64, 56]",58
45,5,"[65, 65, 64, 64, 62, 64, 65, 67, 62, 65, 65, 64, 64, 62, 64, 65, 67, 62]",65
46,7,"[71, 70, 68, 66, 64, 63, 59, 64, 71, 70, 68, 66, 64, 63, 59, 64]",69
47,2,"[62, 69, 66, 64, 59, 62, 62, 69, 66, 64, 59, 62]",61
48,4,"[64, 59, 68, 69, 66, 64, 61, 64, 59, 68, 69, 66, 64, 61]",59
49,11,"[54, 66, 61, 58, 59, 66, 63, 59, 54, 66, 61, 58, 59, 66, 63, 59]",66
50,6,"[60, 61, 56, 65, 66, 61, 58, 61, 60, 61, 56, 65, 66, 61, 58, 61]",66
51,1,"[64, 60, 57, 64, 66, 62, 67, 64, 64, 60, 57, 64, 66, 62, 67, 64]",68
52,8,"[59, 66, 64, 63, 61, 59, 61, 68, 59, 66, 64, 63, 61, 59, 61, 68]",65
53,3,"[62, 58, 62, 63, 60, 63, 65, 60, 57, 62, 58, 62, 63, 60, 63, 65, 60, 57]",62
54,10,"[65, 60, 67, 69, 65, 70, 72, 60, 64, 65, 60, 67, 69, 65, 70, 72, 60, 64]",69
55,5,"[59, 66, 62, 62, 69, 66, 66, 73, 69, 59, 66, 62, 62, 69, 66, 66, 73, 69]",69
56,0,"[68, 70, 71, 73, 71, 70, 68, 66, 63, 68, 70, 71, 73, 71, 70, 68, 66, 63]",60
57,7,"[59, 61, 54, 63, 56, 64, 58, 68, 59, 61, 54, 63, 56, 64, 58, 68]",69
58,2,"[60, 57, 65, 64, 60, 67, 65, 62, 70, 60, 57, 65, 64, 60, 67, 65, 62, 70]",61
59,9,"[76, 68, 69, 71, 63, 66, 64, 61, 68, 76, 68, 69, 71, 63, 66, 64, 61, 68]",69
60,4,"[68, 61, 65, 68, 70, 66, 63, 60, 63, 68, 61, 65, 68, 70, 66, 63, 60, 63]",66
61,11,"[70, 66, 61, 71, 66, 63, 68, 61, 65, 70, 66, 61, 71, 66, 63, 68, 61, 65]",63
62,6,"[66, 64, 63, 61, 63, 61, 59, 66, 63, 66, 64, 63, 61, 63, 61, 59, 66, 63]",61
63,1,"[60, 64, 62, 62, 65, 64, 62, 60, 57, 60, 64, 62, 62, 65, 64, 62, 60, 57]",63
64,8,"[78, 73, 70, 73, 70, 66, 70, 61, 66, 78, 73, 70, 73, 70, 66, 70, 61, 66]",63
65,3,"[62, 66, 69, 74, 71, 67, 66, 62, 59, 62, 66, 69, 74, 71, 67, 66, 62, 59]",58
66,10,"[56, 51, 60, 56, 63, 60, 72, 63, 68, 56, 51, 60, 56, 63, 60, 72, 63, 68]",62
67,5,"[68, 72, 70, 73, 72, 70, 63, 70, 67, 68, 72, 70, 73, 72, 70, 63, 70, 67]",60
68,0,"[75, 67, 72, 63, 60, 68, 62, 70, 75, 67, 72, 63, 60, 68, 62, 70]",59
69,2,"[68, 66, 65, 63, 61, 60, 58, 70, 68, 66, 65, 63, 61, 60, 58, 70]",64
70,9,"[64, 69, 71, 72, 74, 72, 71, 67, 64, 64, 69, 71, 72, 74, 72, 71, 67, 64]",64
71,4,"[68, 61, 68, 63, 68, 60, 68, 68, 61, 68, 63, 68, 60, 68]",69
72,11,"[56, 58, 60, 61, 63, 65, 63, 67, 56, 58, 60, 61, 63, 65, 63, 67]",59
73,6,"[62, 66, 64, 67, 66, 64, 62, 61, 64, 62, 66, 64, 67, 66, 64, 62, 61, 64]",61
74,1,"[76, 69, 71, 73, 69, 66, 66, 64, 68, 76, 69, 71, 73, 69, 66, 66, 64, 68]",56
75,8,"[63, 58, 55, 56, 58, 58, 62, 65, 58, 63, 58, 55, 56, 58, 58, 62, 65, 58]",63
76,3,"[63, 60, 56, 65, 61, 56, 67, 63, 67, 63, 60, 56, 65, 61, 56, 67, 63, 67]",58
77,10,"[54, 59, 58, 59, 61, 63, 64, 66, 58, 54, 59, 58, 59, 61, 63, 64, 66, 58]",63
78,5,"[65, 65, 64, 64, 62, 64, 65, 67, 64, 65, 65, 64, 64, 62, 64, 65, 67, 64]",65
79,0,"[58, 65, 63, 62, 60, 57, 60, 58, 65, 63, 62, 60, 57, 60]",59
80,7,"[71, 68, 69, 66, 64, 61, 63, 66, 71, 68, 69, 66, 64, 61, 63, 66]",62
81,2,"[65, 60, 67, 60, 70, 69, 67, 64, 60, 65, 60, 67, 60, 70, 69, 67, 64, 60]",66
82,9,"[50, 57, 66, 67, 55, 59, 61, 57, 64, 50, 57, 66, 67, 55, 59, 61, 57, 64]",64
83,4,"[76, 81, 78, 73, 74, 71, 64, 68, 76, 81, 78, 73, 74, 71, 64, 68]",66
84,11,"[67, 65, 64, 62, 60, 59, 67, 65, 64, 62, 60, 59]",61
85,6,"[71, 69, 67, 72, 71, 69, 62, 66, 71, 69, 67, 72, 71, 69, 62, 66]",68
86,1,"[58, 53, 65, 63, 51, 67, 65, 57, 60, 58, 53, 65, 63, 51, 67, 65, 57, 60]",66
87,8,"[58, 53, 62, 63, 55, 58, 65, 57, 60, 58, 53, 62, 63, 55, 58, 65, 57, 60]",63
88,3,"[67, 70, 63, 68, 67, 65, 62, 67, 70, 63, 68, 67, 65, 62]",67
89,10,"[63, 58, 55, 58, 56, 58, 65, 62, 63, 58, 55, 58, 56, 58, 65, 62]",58
90,5,"[72, 67, 64, 67, 60, 62, 55, 59, 72, 67, 64, 67, 60, 62, 55, 59]",60
